alarm_id,alarm_name,alarm_text,alarm_code,ce_on,ce_off
272,,OUT EMG ENABLE,2,,
273,,C1PG CONNECTION FAULT,2,,
274,,C2PG CONNECTION FAULT,2,,
275,,C3PG CONNECTION FAULT,2,,
276,,C4PG CONNECTION FAULT,2,,
277,,DP31 PG CONNECTION FAULT,2,,
278,,DP32 PG CONNECTION FAULT,2,,
279,,CHB31 IG CONNECTION FAULT,2,,
280,,CHB37 IG CONNECTION FAULT,2,,
281,,CHB4 IG CONNECTION FAULT,2,,
282,,C31IG MESSAGE,2,,
283,,C37IG MESSAGE,2,,
284,,C4IG MESSAGE,2,,
285,,System Air(CDA) supply alarm,2,,
286,,System N2 supply alarm,2,,
287,,IN-C1 overtime,2,,
288,,C1-C2 overtime,2,,
289,,C2-C31 overtime,2,,
290,,C311-C4 overtime,2,,
291,,CHB4-OUT overtime,2,,
292,,OUT-BUF12 overtime,2,,
293,,BUF12-BUF11 overtime,2,,
294,,BUF11-BUF10 overtime,2,,
295,,BUF10-BUF9 overtime,2,,
296,,BUF9-BUF8 overtime,2,,
297,,BUF8-BUF7 overtime,2,,
298,,BUF7-BUF6 overtime,2,,
299,,BUF6-BUF5 overtime,2,,
300,,BUF5-BUF4 overtime,2,,
301,,BUF4-BUF3 overtime,2,,
302,,BUF3-BUF2 overtime,2,,
303,,BUF2-BUF1 overtime,2,,
304,,BUF1-IN overtime,2,,
305,,CHB31-CHB33 overtime,2,,
306,,CHB33-CHB34 overtime,2,,
307,,CHB34-CHB35 overtime,2,,
308,,CHB35-CHB36 overtime,2,,
309,,CHB35-CHB36 overtime,2,,
310,,CHB36-CHB37 overtime,2,,
311,,CHB37-CHB38 overtime,2,,
312,,CHB38-CHB39 overtime,2,,
313,,CHB39-CHB311 overtime,2,,
314,,CHB311-CHB39 overtime,2,,
315,,CHB39-CHB38 overtime,2,,
316,,CHB38-CHB37 overtime,2,,
317,,CHB37-CHB36 overtime,2,,
318,,CHB36-CHB35 overtime,2,,
319,,CHB35-CHB34 overtime,2,,
320,,CHB34-CHB33 overtime,2,,
321,,CHB33-CHB31 overtime,2,,
322,,AUTO; SOFT STOP ACTIVATE,2,,
323,,AUTO; CHB2 LOST VAC,2,,
324,,AUTO; CHB3 LOST VAC,2,,
325,,AUTO; ALL CV are not fully cls,2,,
326,,AUTO; System air(CDA) alarm,2,,
327,,AUTO; CHB WATER ALARM,2,,
328,,AUTO; ALL TP NOT READY,2,,
329,,AUTO; CHB3 TRAY NOT CLEAR,2,,
330,,AUTO; CRYO TRAP MESSAGE,2,,
331,,Cryotrap31;standby idle OVR T,2,,
332,,Cryotrap31;CL operation STR al,2,,
333,,Cryotrap31;CL operation STR al,2,,
334,,Cryotrap31;DEF operation STR,2,,
335,,Cryotrap31;STBY complete-temp a/,2,,
336,,Cryotrap31;STBY operation OVR T/,2,,
337,,Cryotrap31 STBY alarm,2,,
338,,Cryotrap32;standby idle OVR T,2,,
339,,Cryotrap32;CL operation STR al,2,,
340,,Cryotrap32;CL operation STR al,2,,
341,,Cryotrap32;DEF operation STR,2,,
342,,Cryotrap32;STBY complete-temp a/,2,,
343,,Cryotrap32;STBY operation OVR T/,2,,
344,,Cryotrap32 STBY alarm,2,,
345,,Cryotrap31 cool temp alarm,2,,
346,,Cryotrap32 cool temp alarm,2,,
347,,Cryotrap31 POWER SUPPLY ALARM,2,,
348,,Cryotrap32 POWER SUPPLY ALARM,2,,
349,,Cryotrap31 temp alarm,2,,
350,,Cryotrap32 temp alarm,2,,
351,,AUTO; SYSTEM STANDBY NOT READY,2,,
352,,SYSTEM AR SUPPLY ALARM,2,,
353,,SYSTEM He SUPPLY ALARM,2,,
354,,SYSTEM POWER MONITOR ALARM,2,,
355,,CHB1 HT1 CURRENT ALARM,2,,
356,,CHB1 HT2 CURRENT ALARM,2,,
357,,SYSTEM WTER VALVE NOT OPEN,2,,
